device,predicate
K993851,K935567
K993848,K891072
K993848,K890340
K993848,K891919
K993848,K890127
K993848,K912563
K993843,K793343
K993837,K944089
K993837,K823480
K993837,K946206
K993837,K981426
K993837,K990092
K993837,K961161
K993837,K974784
K993836,K773836
K993834,K962068
K993833,K493833
K993832,K990889
K993829,K971876
K993826,K980553
K993826,K901713
K993826,K921669
K993825,K896154
K993824,K443824
K993813,K961104
K993813,K921296
K993813,K885054
K993808,K443808
K993806,K945136
K993805,K992170
K993803,K193803
K993803,K983110
K993803,K961092
K993803,K942609
K993803,K990620
K993803,K965068
K993803,K922798
K993802,K922470
K993799,K993449
K993799,K942704
K993797,K793777
K993796,K493796
K993796,K984525
K993794,K949341
K993792,K954355
K993792,K926258
K993791,K960265
K993788,K993799
K993788,K880620
K993788,K844391
K993787,K983172
K993786,K961837
K993786,K822082
K993786,K499378
K993785,K970817
K993782,K974324
K993781,K983518
K993779,K991892
K993778,K994377
K993778,K192778
K993775,K921909
K993775,K991675
K993775,K981625
K993773,K913368
K993773,K983112
K993771,K870365
K993768,K972228
K993768,K955871
K993768,K941366
K993766,K984532
K993766,K953391
K993766,K962892
K993766,K963258
K993766,K940663
K993765,K940172
K993765,K773769
K993764,K932056
K993764,K990567
K993763,K940172
K993762,K963420
K993762,K990776
K993762,K962823
K993762,K191336
K993761,K982862
K993761,K962699
K993758,K981311
K993758,K915092
K993758,K921562
K993758,K443459
K993758,K942664
K993757,K900598
K993757,K901072
K993757,K921669
K993755,K793755
K993751,K991905
K993749,K982771
K993749,K971882
K993741,K982271
K993738,K993726
K993737,K142737
K993737,K993714
K993735,K993724
K993733,K993743
K993732,K964015
K993732,K972732
K993732,K923133
K993732,K962718
K993729,K992968
K993728,K934086
K993723,K973123
K993714,K902307
K993708,K949370
K993706,K990843
K993697,K840472
K993697,K853973
K993697,K863395
K993695,K931994
K993695,K950126
K993692,K961482
K993692,K965173
K993687,K943581
K993687,K940295
K993687,K904145
K993683,K974014
K993683,K926074
K993683,K931710
K993681,K881882
K993679,K963641
K993678,K993618
K993678,K954137
K993675,K926008
K993674,K920906
K993674,K924311
K993673,K990214
K993673,K982570
K993672,K974473
K993671,K931762
K993671,K971737
K993671,K991234
K993671,K981952
K993671,K972347
K993671,K954934
K993671,K882160
K993668,K872094
K993668,K950698
K993668,K840110
K993666,K983974
K993666,K982966
K993666,K982842
K993666,K981797
K993666,K980755
K993663,K960744
K993663,K979366
K993657,K980103
K993656,K962638
K993655,K944992
K993655,K980129
K993655,K903302
K993655,K895331
K993655,K792365
K993655,K890972
K993655,K913514
K993653,K413653
K993653,K965045
K993653,K964450
K993653,K960299
K993650,K990775
K993649,K963618
K993649,K951357
K993648,K970296
K993645,K980169
K993643,K943278
K993643,K974149
K993643,K951246
K993643,K951902
K993643,K980619
K993643,K964408
K993641,K980094
K993639,K983055
K993639,K972825
K993637,K955642
K993637,K982255
K993637,K991823
K993634,K980056
K993634,K912844
K993632,K994363
K993632,K990939
K993629,K965192
K993628,K853143
K993628,K884413
K993628,K864983
K993628,K990572
K993628,K981262
K993628,K894600
K993628,K910696
K993628,K884412
K993624,K862127
K993624,K850478
K993623,K193693
K993622,K970943
K993622,K981820
K993619,K932249
K993618,K950944
K993618,K990956
K993617,K950944
K993617,K990956
K993614,K960880
K993614,K971586
K993610,K973594
K993599,K933632
K993598,K933632
K993597,K933637
K993597,K933632
K993595,K984104
K993595,K930071
K993594,K982549
K993588,K990867
K993587,K943537
K993584,K991150
K993582,K443582
K993581,K883934
K993580,K984090
K993577,K949357
K993575,K992611
K993575,K982420
K993575,K970896
K993575,K962511
K993574,K946244
K993574,K990260
K993574,K933018
K993574,K962933
K993574,K981475
K993574,K962138
K993574,K983110
K993566,K992966
K993566,K993456
