device,predicate
K211388,K131547
K211388,K172392
K211388,K203065
K211386,K111019
K211386,K200792
K211385,K970544
K211385,K083107
K211383,K171420
K211383,K171419
K211383,K040046
K211383,K181003
K211380,K173006
K211379,K201444
K211378,K153496
K211376,K082950
K211375,K081576
K211374,K202384
K211373,K200524
K211373,K190578
K211372,DEN200029
K211370,K200741
K211370,K190793
K211368,K190820
K211368,K160968
K211368,K172791
K211367,K170959
K211365,K152139
K211365,K190792
K211365,K200776
K211363,K203426
K211362,K180193
K211362,K151331
K211361,K982115
K211359,K161742
K211359,K110708
K211359,K152754
K211359,K203315
K211358,K161957
K211358,K052741
K211356,K123302
K211355,K190316
K211355,K200966
K211354,K153028
K211353,K203426
K211352,K202791
K211351,K171422
K211350,K161971
K211349,K213349
K211349,K182699
K211349,K180921
K211347,K153049
K211346,DEN180024
K211345,K201668
K211345,K191527
K211344,K171862
K211344,K150319
K211344,K171747
K211342,K191456
K211341,K171422
K211338,K193063
K211338,K160641
K211338,K173452
K211337,K192410
K211337,K201693
K211337,K202785
K211336,K163168
K211335,K162659
K211335,K211355
K211334,K161835
K211333,K111521
K211332,K200617
K211330,K113848
K211330,K092386
K211330,K093363
K211330,K002747
K211329,K193526
K211328,K180526
K211327,K113213
K211326,DEN200055
K211325,K202166
K211325,K081137
K211324,K083694
K211324,K110125
K211324,K033975
K211324,K102694
K211324,K040777
K211324,K012114
K211324,K091644
K211323,K150417
K211323,K202771
K211323,K160904
K211322,K191227
K211322,K133671
K211321,K172750
K211321,K202035
K211320,K180665
K211319,K210057
K211318,K202157
K211317,K183637
K211317,K983267
K211316,K202968
K211315,K111717
K211315,K112319
K211315,K200162
K211315,K110223
K211314,K000881
K211313,K161417
K211312,K182419
K211312,K110875
K211311,K110117
K211310,K172867
K211309,K171886
K211308,K191590
K211308,K051705
K211307,K082178
K211307,K990951
K211307,K192144
K211306,K202305
K211305,K162137
K211305,K172329
K211304,K211034
K211304,K200795
K211303,K010100
K211303,K051948
K211303,K041160
K211303,K020841
K211302,K160910
K211301,K191415
K211300,K181277
K211300,K181617
K211300,K201632
K211300,K200449
K211300,K150773
K211300,K173713
K211300,K161439
K211299,K200450
K211299,K181277
K211299,K181617
K211299,K201632
K211299,K150773
K211299,K173713
K211299,K161439
K211298,K181955
K211297,K080133
K211297,K181819
K211295,K202843
K211294,K101660
K211294,K162432
K211294,K980582
K211293,K170276
K211292,K041393
K211292,K020885
K211291,K133573
K211291,K162176
K211290,K210754
K211290,K170021
K211290,K190324
K211290,K193214
K211289,K173553
K211289,K141809
K211288,K182166
K211288,K151330
K211286,K092409
K211283,K182668
K211282,K183595
K211279,K182310
K211277,K161570
K211277,K082311
K211277,K113291
K211276,K161464
K211276,K891908
K211274,K021534
K211273,K002906
K211273,K063192
K211272,K182453
K211270,K181363
K211270,K190802
K211269,K201056
K211269,K181859
K211264,K171422
K211262,K153028
K211261,K193366
K211261,K171018
K211261,K140741
K211261,K190586
K211260,K200847
K211258,K203201
K211258,K201605
K211258,K192018
K211257,K171544
K211256,K042970
K211255,K203685
K211254,K170011
K211254,K190929
K211254,K172418
K211254,K200095
K211254,K192800
K211254,K192396
K211253,K141578
K211253,K160318
K211252,K171422
K211251,K183000
K211250,K161838
K211250,K122511
K211250,K171344
K211249,K202463
K211248,K112646
K211248,K163121
K211247,K063324
K211246,K091543
K211244,K190044
K211242,K153537
K211240,K101659
K211240,K082561
K211239,K163168
K211238,K192818
K211238,K202393
K211238,K072118
K211237,K080768
K211235,K160318
K211234,K142427
K211233,K173310
K211233,K181405
K211233,K183586
K211232,K192107
K211229,K182043
K211225,K130436
K211225,K153645
K211225,K191152
K211225,K191382
K211225,K181520
K211224,K971571
K211223,K020110
K211223,K172565
K211223,K121754
K211222,K181939
K211221,K181366
K211221,K042515
K211221,K951987
K211221,K953274
K211221,K181326
K211221,K033363
K211221,K121443
K211221,K100897
K211221,K132624
K211220,K192315
K211219,K193632
K211217,K110672
K211217,K161043
K211217,K121481
K211217,K141507
K211216,K170823
K211216,K200497
K211216,K201775
K211216,K173341
K211216,K181685
K211216,K202658
K211215,K172404
K211214,K180417
K211212,K123751
K211211,K112057
K211210,K143497
K211209,K120970
K211209,K020042
K211207,K162828
K211206,K162613
K211206,K180843
K211205,K182418
K211205,K191584
K211205,K202878
K211204,K111016
K211204,K032393
K211204,K060231
K211203,K120537
K211203,K111285
K211203,K132974
K211202,K180146
K211202,K210088
K211202,K191102
K211201,K171563
K211201,K082575
K211201,K161859
K211201,K193075
K211201,K181958
K211200,K110159
K211200,K172103
K211200,K193020
K211199,K192380
K211199,K192083
K211194,K202339
K211193,K120882
K211193,K182281
K211193,K150529
K211192,K173678
K211192,K171895
K211191,K200396
K211191,K161942
K211191,K161966
K211191,K193031
K211191,K191503
K211190,K192119
K211188,K190929
K211188,K070106
K211186,K072206
K211186,K130996
K211186,K041139
K211185,K192432
K211185,K160968
K211183,K960037
K211180,K193306
K211180,K110834
K211180,K081985
K211180,K193281
K211180,K041521
K211179,K180647
K211178,K131224
K211177,K180381
K211176,K900628
K211176,K121627
K211176,K123012
K211176,K072852
K211176,K092386
K211176,K081124
K211176,K970337
K211176,K102370
K211176,K831884
K211176,K971414
K211176,K823727
K211176,K093363
K211176,K914878
K211176,K100412
K211176,K052792
K211176,K963509
K211176,K022958
K211176,K071160
K211176,K100481
K211176,K990369
K211176,K991485
K211176,K182535
K211176,K896580
K211176,K070756
K211176,K151902
K211176,K072817
K211176,K033442
K211176,K113848
K211176,K990666
K211176,K983834
K211176,K171073
K211176,K150790
K211176,K143739
K211176,K040680
K211176,K962541
K211176,K963486
K211176,K921400
K211176,K162303
K211176,K920430
K211176,K070278
K211176,K130728
K211176,K182109
K211176,K171934
K211176,K160923
K211176,K002747
K211176,K110135
K211176,K093991
K211176,K970351
K211176,K120211
K211176,K122244
K211176,K021803
K211176,K022902
K211176,K021673
K211176,K110101
K211176,K083566
K211176,K122296
K211176,K823723
K211176,K022556
K211176,K932755
K211176,K083762
K211176,K960094
K211176,K002996
K211176,K103256
K211176,K023743
K211176,K791125
K211176,K934353
K211176,K023302
K211174,K190820
K211174,K181568
K211173,K161378
K211172,K193601
K211172,K143306
K211171,K183394
K211170,K052449
K211169,K173727
K211168,K180015
K211165,K202463
K211161,K183182
K211161,K191647
K211160,K180366
K211159,K093590
K211159,K123519
K211159,K070464
K211159,K160140
K211159,K170180
K211159,K192737
K211156,K181116
K211156,K202229
K211155,K160836
K211155,K153387
K211152,K020659
K211150,K093852
K211149,K963970
K211149,K153489
K211149,K201588
K211148,K141594
K211147,K936039
K211147,K852687
K211147,K133012
K211147,K030823
K211147,K013137
K211147,K073665
K211140,K060143
K211140,K081238
K211139,K161468
K211139,K200500
K211138,K012891
K211138,K012344
K211138,K993637
K211138,K042316
K211136,K193572
K211135,DEN170072
K211132,K962530
K211132,K093524
K211132,K133223
K211131,K171422
K211130,K200305
K211129,K191605
K211129,K173402
K211129,K200805
K211129,K191363
K211129,K182776
K211129,K202348
K211129,K202100
K211129,K200348
K211129,K161399
K211129,K202264
K211125,K111386
K211124,K173084
K211123,K083103
K211123,K140483
K211121,K200463
K211120,K143077
K211120,K132641
K211120,K150616
K211120,K113455
K211118,K201615
K211118,K193282
K211115,K192858
K211115,K171868
K211115,K152464
K211114,K170180
K211113,K190317
K211113,K180179
K211112,K183682
K211112,K061493
K211111,K151939
K211111,K193000
K211110,K161921
K211110,K200582
K211109,K161655
K211109,K143071
K211109,K202344
K211109,K181932
K211109,K153645
K211109,K200040
K211109,K212125
K211109,K151455
K211109,K133731
K211109,K142260
K211109,K000018
K211109,K161416
K211109,K181869
K211108,K201932
K211108,K182533
K211108,K202995
K211107,K202199
K211107,K192224
K211104,K190303
K211102,K171941
K211102,K193371
K211101,K102776
K211100,K162925
K211099,K023487
K211099,K190747
K211099,K933327
K211098,K141871
K211098,K171309
K211098,K171709
K211098,K141870
K211097,K202096
K211096,K162553
K211096,K122432
K211094,K182203
K211094,K191151
K211094,K053266
K211094,K053326
K211094,K172933
K211094,K162517
K211091,K183371
K211090,K161604
K211090,K182091
K211090,K181138
K211088,K183302
K211086,K043431
K211086,K040212
K211085,K193131
K211085,K171518
K211084,K192500
K211081,K190594
K211081,K173672
K211080,K191119
K211079,DEN200031
K211078,K173548
K211078,K033583
K211078,K201792
K211077,K202844
K211076,K190044
K211076,K193432
K211076,K180239
K211075,K203191
K211074,K193372
K211074,K191960
K211074,K173900
K211074,K200895
K211073,K181106
K211072,K043258
K211069,K183270
K211069,K203712
K211069,K183598
K211068,K150782
K211066,K160269
K211064,K162309
K211064,K190064
K211062,K203426
K211061,K193071
K211061,K183290
K211060,K172987
K211058,K180074
K211057,K202771
K211057,K173506
K211055,K173093
K211055,K162106
K211052,K191895
K211051,K170727
K211051,K112583
K211051,K063049
K211051,K141430
K211049,K152732
K211049,K123341
K211046,K171322
K211045,K153028
K211044,K200700
K211044,K180007
K211043,K142427
K211042,K200923
K211041,K190693
K211039,K043216
K211038,K131113
K211038,K122237
K211038,K173729
K211038,K162782
K211038,K152280
K211038,K171323
K211037,K203323
K211035,K201809
K211034,K201350
K211032,K173596
K211032,K180354
K211030,K173727
K211028,K171422
K211027,K031175
K211027,K071880
K211027,K200322
K211027,K033352
K211027,K200922
K211027,K181339
K211026,K191448
K211025,K161039
K211024,K201903
K211021,K102082
K211019,K171825
K211016,K200675
K211014,K182206
K211013,K201541
K211013,K202345
K211012,K171422
K211010,K173784
K211010,K152086
K211010,K180491
K211010,K173785
K211008,DEN180026
K211007,K202270
K211004,K120790
K211004,K140826
K211004,K122232
K211004,K142069
K211004,K202022
K211004,K173890
K211004,K121416
K211004,K162035
K211004,K181635
K211004,K090988
K211004,K202684
K211003,K200581
K211002,K191227
K211002,K190817
K211002,K120556
K211002,K191483
K211002,K183690
K211002,K153307
K211002,K182898
K211002,K201083
K211002,K123668
K211002,K100006
K211002,K102298
K211002,K183183
K211001,K180021
K211000,K182355
K211000,K170325
K210999,K191688
K210998,K160284
K210998,K182964
K210997,K170675
K210997,K180937
K210996,K202182
K210994,K162353
K210994,K201132
K210993,K183406
K210993,K945585
K210993,K173192
K210992,K132143
K210991,K072739
K210990,K200326
K210989,K191597
K210989,K202320
K210988,K201528
K210987,K090848
K210987,K082330
K210986,K200894
K210985,K171461
K210985,K080859
K210985,K171420
K210985,K131766
K210983,K925902
K210982,K182234
K210981,K191220
K210980,K061019
K210980,K0409
29
K210980,K043052
K210980,K032722
K210980,K050938
K210980,K111025
K210980,K040212
K210980,K040929
K210980,K981529
K210980,K051557
K210978,K091758
K210978,K193131
K210977,K151142
K210977,K201668
K210977,K102776
K210976,K192817
K210976,K191456
K210975,K132715
K210975,K200528
K210974,K183645
K210973,K201902
K210973,K101454
K210973,K141142
K210972,K200208
K210971,K183540
K210971,K163586
K210969,K192328
K210968,K180447
K210968,K180320
K210967,K160608
K210965,K180445
K210965,K171390
K210964,K201801
K210963,K151974
K210963,K130291
K210963,K151727
K210963,K130877
K210963,K180433
K210961,K103733
K210961,K161705
K210961,K131864
K210961,K150829
K210959,K192903
K210958,K191298
K210958,K191360
K210958,K183678
K210958,K186388
K210958,K183688
K210958,K183680
K210957,K111508
K210957,K193166
K210957,K071233
K210956,K183624
K210956,K111508
K210954,K172909
K210953,K994143
K210953,K093047
K210953,K970748
K210953,K142520
K210951,K113858
K210951,K192272
K210951,K113709
K210949,K123961
K210949,K021792
K210949,K081635
K210948,K160691
K210948,K081307
K210947,K200662
K210947,K161406
K210946,K192101
K210946,K160423
K210946,K181803
K210945,K984246
K210945,K071688
K210944,K182600
K210943,K211102
K210943,K201761
K210943,K171941
K210943,K193371
K210942,K993655
K210940,K201173
K210936,K181863
K210935,K001614
K210935,K122538
K210935,K031573
K210935,K093928
K210935,K063166
K210935,K131722
K210935,K131132
K210935,K061973
K210934,K955247
K210934,K013153
K210934,K061684
K210931,K123970
K210930,K042275
K210930,K141670
K210929,K013800
K210928,K173679
K210928,K143727
K210928,K200678
K210928,K131028
K210925,K100078
K210925,K110685
K210923,K093562
K210923,K181850
K210923,K173706
K210923,K173343
K210923,K071161
K210923,K163634
K210923,K163060
K210923,K061169
K210923,K020617
K210923,K191054
K210923,K070841
K210923,K033171
K210923,K172160
K210923,K003620
K210923,K070905
K210923,K180465
K210923,K182865
K210923,K052490
K210923,K193084
K210923,K192651
K210923,K191250
K210923,K142519
K210923,K053478
K210923,K082651
K210921,K203250
K210921,K193207
K210920,K172601
K210920,K191874
K210919,K192400
K210919,K171137
K210919,K193017
K210919,K201058
K210919,K162552
K210919,K162555
K210918,K124031
K210918,K141077
K210917,K150434
K210916,K173636
K210915,K162749
K210914,K113241
K210914,K11
3241
K210913,K150269
K210912,K200074
K210912,K092564
K210912,K142383
K210911,K191710
K210911,K200101
K210910,K201484
K210910,K191618
K210910,K180124
K210910,K190058
K210909,K080839
K210909,K172960
K210908,K202843
K210906,K101449
K210906,K161531
K210906,K110622
K210904,K032605
K210903,K120503
K210903,K161689
K210903,K182091
K210903,K181138
K210903,K120530
K210903,K182194
K210903,K180282
K210902,K141655
K210902,K141375
K210902,K061165
K210902,K141328
K210901,K162840
K210900,K203551
K210900,K181804
K210899,K161476
K210899,K200368
K210899,K060692
K210898,K150340
K210897,K192333
K210894,K142420
K210894,K171733
K210894,K191158
K210894,K131795
K210894,K153026
K210894,K181032
K210893,K142462
K210893,K102019
K210893,K151264
K210893,K153345
K210890,K142456
K210889,K201178
K210887,K083863
K210886,K192149
K210886,K200102
K210886,K172505
K210886,K112162
K210885,K193288
K210885,K203178
K210884,K130991
K210883,K173727
K210882,K191371
K210881,K182215
K210881,K100378
K210880,K160743
K210880,K123599
K210878,K200847
K210877,K183450
K210877,K201285
K210874,K180179
K210874,K162066
K210871,K120827
K210871,K190245
K210870,K182515
K210869,K130147
K210869,K201227
K210867,K200359
K210867,K201239
K210867,K782055
K210866,K972747
K210866,K002861
K210864,K152514
K210861,K161742
K210861,K190991
K210861,K080642
K210861,K202289
K210859,K171170
K210859,K132878
K210859,K193365
K210859,K193559
K210859,K171369
K210859,K170011
K210859,K162061
K210859,K141988
K210859,K202152
K210859,K171595
K210859,K121115
K210858,K081231
K210857,K203257
K210856,K182514
K210855,K181703
K210855,K150938
K210855,K200586
K210854,K142539
K210852,K140440
K210852,K151909
K210852,K200586
K210852,K140091
K210851,K182540
K210850,K191125
K210848,K191531
K210847,K180508
K210847,K181523
K210845,K202061
K210844,K140980
K210843,K173224
K210843,K181093
K210842,K913649
K210842,K921224
K210842,K030265
K210842,K191735
K210841,DEN150056
K210841,K163509
K210841,K132297
K210841,K171761
K210841,K152434
K210840,K153496
K210839,K192211
K210838,K162563
K210838,K131437
K210838,K021591
K210838,K191237
K210837,K190253
K210837,K120667
K210837,K133662
K210837,K173293
K210837,K100325
K210837,K092015
K210837,K090675
K210837,K172785
K210837,K161665
K210837,K952697
K210837,K132886
K210837,K140814
K210837,K954712
K210837,K082516
K210837,K993289
K210837,K123055
K210837,K132296
K210837,K071563
K210837,K181533
K210837,K152976
K210837,K072818
K210837,K201527
K210837,K083032
K210837,K062216
K210837,K170457
K210837,K993106
K210837,K051735
K210837,K060736
K210837,K061352
K210837,K170887
K210837,K033669
K210837,K111994
K210837,K143050
K210837,K080434
K210837,K193029
K210837,K110670
K210837,K152686
K210837,K162078
K210836,K141163
K210836,K150540
K210836,K133015
K210836,K190260
K210835,K192968
K210833,K173384
K210832,K201317
K210832,K012060
K210831,K162955
K210830,K092639
K210830,K140167
K210829,K181947
K210828,K193623
K210827,K170655
K210826,K110955
K210826,K140091
K210826,K181138
K210826,K150537
K210826,K192436
K210826,K123870
K210826,K123988
K210826,K182448
K210823,K120775
K210823,K120560
K210822,K181502
K210822,K182344
K210821,K182043
K210820,K152489
K210818,K193192
K210817,K180657
K210815,K202211
K210814,K180712
K210813,K201479
K210811,K190332
K210811,DEN160056
K210810,K953776
K210809,K210252
K210809,K203447
K210809,K173849
K210808,K200744
K210807,K110834
K210807,K193261
K210807,K081985
K210807,K121200
K210807,K092639
K210807,K041521
K210805,K200162
K210805,K171459
K210805,K191301
K210804,K133318
K210800,K180337
K210800,K200685
K210800,K192115
K210799,K163168
K210797,K972278
K210797,K143327
K210793,K171482
K210792,K192003
K210792,K011857
K210791,K173780
K210790,K162455
K210790,K150488
K210790,K192799
K210790,K183696
K210790,K163669
K210789,K112508
K210785,K202310
K210784,K023921
K210784,K033289
K210782,K190793
K210780,K091663
K210779,K120970
K210777,K120970
K210776,K171422
K210775,K171615
K210774,K091663
K210770,K083246
K210770,K183534
K210770,K162668
K210770,K120672
K210770,K102939
K210768,K121470
K210768,K163276
K210768,K090769
K210768,K183535
K210767,K160269
K210766,K201341
K210766,K170819
K210766,K211100
K210766,K162925
K210766,K170948
K210763,K152086
K210763,K113618
K210761,K182515
K210760,K162838
K210760,K180015
K210759,K020518
K210759,K181937
K210759,K200508
K210759,K191653
K210759,K151632
K210758,K163535
K210758,K193104
K210757,K192050
K210756,K172897
K210756,K190783
K210755,K133168
K210755,K210775
K210754,K000080
K210754,K150981
K210754,K170021
K210754,K191344
K210754,K081813
K210754,K202680
K210753,K183319
K210753,K201985
K210753,K181823
K210752,K130537
K210752,K161021
K210752,K121113
K210750,K140259
K210750,K112111
K210749,K193528
K210748,K113186
K210748,K172095
K210747,K200621
K210745,K193009
K210744,K153496
K210743,K172162
K210743,K191922
K210743,K201462
K210741,K081651
K210741,K150468
K210737,K192929
K210736,K200776
K210734,K183036
K210731,K943347
K210731,K170272
K210731,K191028
K210731,K182789
K210730,K192954
K210728,K201605
K210727,K133726
K210726,K183105
K210725,K171422
K210724,K103714
K210723,K171422
K210719,K061214
K210718,K183645
K210718,K121275
K210717,K161742
K210717,K191746
K210717,K200171
K210716,K201251
K210716,K981676
K210716,K052398
K210716,K201926
K210716,K151010
K210716,K203317
K210716,K992739
K210716,K153442
K210716,K182377
K210716,K173487
K210714,K032005
K210713,K182894
K210713,K200339
K210713,K142466
K210712,K193273
K210711,K191605
K210711,K173402
K210711,K200805
K210711,K191363
K210711,K202100
K210711,K182776
K210711,K202264
K210710,K192245
K210707,K192866
K210706,K190942
K210701,K200056
K210701,K141079
K210700,K190887
K210699,K192152
K210699,K192903
K210699,K173021
K210699,K181985
K210699,K163077
K210699,K192410
K210699,K171233
K210699,K200001
K210698,K133070
K210695,K122183
K210695,K150783
K210695,K142649
K210695,K082424
K210694,K200125
K210694,K083209
K210694,K183270
K210693,K192813
K210692,K203087
K210692,K202564
K210691,K171422
K210689,K163549
K210689,K210190
K210689,K183036
K210688,K200522
K210687,K191286
K210686,K171422
K210685,K171081
K210685,K170373
K210685,K193509
K210684,K171422
K210682,K132342
K210680,K193013
K210680,K170948
K210679,K200847
K210678,K193398
K210678,K013352
K210678,K180263
K210678,K163577
K210678,K191569
K210676,K170334
K210676,K161020
K210676,K180051
K210676,K130218
K210676,K152624
K210675,K191268
K210674,K153696
K210674,K130987
K210674,K163067
K210671,K091434
K210671,K0914
34
K210670,DEN180005
K210670,K170195
K210670,K190442
K210670,K181704
K210669,K202733
K210668,K210669
K210668,K203040
K210667,K200696
K210667,K203138
K210665,K132660
K210665,K162741
K210664,K170349
K210663,K142845
K210663,K180353
K210661,K193670
K210660,K200173
K210658,K120360
K210658,K202764
K210655,K181126
K210655,K200195
K210655,K143701
K210654,K051158
K210654,K111100
K210653,K140669
K210653,K150522
K210653,K142746
K210653,K101086
K210653,K121874
K210653,K150503
K210653,K193030
K210653,K182048
K210653,K190656
K210653,K103755
K210653,K142882
K210653,K070274
K210653,K192189
K210653,K190660
K210653,K200196
K210653,K110400
K210653,K131884
K210653,K123392
K210653,K143009
K210653,K192656
K210653,K120030
K210652,K182826
K210652,K193003
K210652,K180981
K210651,K171965
K210651,K141225
K210651,K203682
K210651,K203277
K210647,K101659
K210645,K200569
K210645,K181145
K210645,K203172
K210643,K203200
K210641,K153496
K210638,K192068
K210638,K160096
K210637,K203291
K210637,K203678
K210637,K111152
K210637,K061591
K210637,K182121
K210637,K113174
K210637,K140454
K210637,K201362
K210637,K111520
K210637,K042025
K210637,K170679
K210637,K201407
K210635,K201518
K210634,K150140
K210634,K152153
K210633,K980367
K210633,K981653
K210632,K193252
K210632,K071964
K210631,K170539
K210629,K180994
K210628,K172048
K210627,K122958
K210626,K201333
K210625,K102409
K210625,K090851
K210625,K102581
K210623,K031016
K210622,K160269
K210621,K192179
K210621,K119217
K210621,K112237
K210621,K122373
K210619,K182688
K210619,K151465
K210618,K113119
K210615,K161318
K210615,K830332
K210614,K182221
K210614,K070756
K210614,K172806
K210614,K120924
K210614,K061253
K210614,K000306
K210614,K162127
K210614,K150790
K210614,K093646
K210614,K182502
K210613,K191823
K210613,K192244
K210613,K150702
K210611,K183221
K210611,K082331
K210611,K202014
K210610,K121810
K210610,K111287
K210610,K120414
K210610,K183079
K210610,K112162
K210610,K163350
K210609,K142275
K210608,K193473
K210607,K202475
K210605,K171373
K210605,K060865
K210604,K163067
K210603,K171373
K210602,K183679
K210602,K140910
K210601,K042568
K210601,K142565
K210600,K163541
K210600,K181007
K210598,K150084
K210596,K993319
K210595,K191391
K210595,K172064
K210595,K171351
K210595,K190483
K210593,K122516
K210593,K161531
K210591,K191307
K210590,K132596
K210590,K170592
K210590,K160597
K210590,K200352
K210588,K190942
K210587,K143289
K210586,K190634
K210585,K182692
K210584,K160332
K210583,K201755
K210583,K201193
K210583,K101310
K210582,K162321
K210582,K122113
K210581,K202472
K210581,K160907
K210581,K170339
K210580,K061711
K210580,K193552
K210579,K060269
K210579,K181977
K210578,K150340
K210575,K112314
K210575,K944767
K210575,K182367
K210574,K180038
K210574,K170011
K210574,K200719
K210573,K172424
K210573,K122872
K210572,K031077
K210572,K131629
K210570,K153655
K210569,K171752
K210567,K002906
K210567,K042777
K210566,K073325
K210566,K091543
K210566,K112941
K210562,K173871
K210560,K052049
K210560,K132068
K210560,K073376
K210560,K191738
K210559,K161335
K210559,K063495
K210558,K160109
K210557,K200524
K210557,K201202
K210557,K200474
K210556,K182464
K210556,K101342
K210555,K180352
K210554,K190911
K210554,K141934
K210554,K060303
K210554,K033489
K210554,K050222
K210554,K152008
K210554,K201084
K210553,K210533
K210553,K140940
K210551,K191625
K210550,K101140
K210550,K190627
K210549,K142381
K210549,K123373
K210549,K200070
K210548,K160448
K210548,K810675
K210546,K072437
K210546,K092649
K210545,K200983
K210545,K172909
K210545,K172555
K210545,K203271
K210544,K173879
K210543,K170568
K210543,K163460
K210542,K190092
K210542,K182158
K210542,K202034
K210541,K192872
K210541,K182273
K210541,K171392
K210540,K180941
K210540,K182826
K210539,K163104
K210539,K100952
K210539,K171082
K210539,K190360
K210539,K181390
K210539,K120696
K210539,K131250
K210539,K173130
K210536,K202222
K210536,K160192
K210535,K180338
K210535,K160880
K210535,K030883
K210534,K200108
K210534,K041287
K210533,K113069
K210533,K080642
K210533,K131353
K210533,K172502
K210533,K173824
K210533,K120121
K210533,K181611
K210530,K200101
K210530,K182835
K210529,K140314
K210528,K162932
K210528,K113255
K210528,K161636
K210525,K202635
K210524,K160269
K210522,K163168
K210521,K111484
K210521,K180364
K210521,K192645
K210521,K133091
K210520,K153028
K210518,K202029
K210516,K111016
K210513,K141085
K210512,K192278
K210512,K181909
K210512,K190827
K210511,K993033
K210511,K933033
K210510,K170762
K210509,K123033
K210509,K112831
K210509,K051711
K210509,K000326
K210509,K152033
K210509,K152105
K210504,K191980
K210504,K153476
K210504,K161042
K210504,K150704
K210502,K192207
K210502,K203219
K210500,K192242
K210499,K181138
K210499,K210449
K210499,K180968
K210499,K181381
K210498,K113297
K210498,K122314
K210498,K190125
K210497,K200879
K210497,K192132
K210497,K142488
K210497,K201193
K210497,K193636
K210497,K190655
K210497,K181079
K210497,K173606
K210497,K171046
K210497,K183083
K210497,K173260
K210496,K182600
K210495,K190592
K210493,K153354
K210492,K201150
K210491,K200485
K210490,K112583
K210489,K120414
K210489,K173207
K210489,K131097
K210488,K130027
K210488,K944602
K210487,K153496
K210487,K202011
K210485,K131902
K210485,K131855
K210484,K200795
K210483,K063423
K210483,K071071
K210483,K202429
K210482,K124045
K210481,K962649
K210480,K173974
K210480,K191031
K210480,K112822
K210479,K182207
K210479,K191451
K210478,K180033
K210478,K170644
K210478,K050369
K210478,K081137
K210478,K123329
K210477,K110117
K210476,K142688
K210476,K160229
K210476,K083330
K210475,K112665
K210475,K170275
K210473,K101869
K210472,K183630
K210470,K192570
K210470,K192018
K210470,K153373
K210470,K073285
K210470,K132894
K210469,K202722
K210469,K191503
K210469,K200396
K210468,K170085
K210468,K192226
K210466,K080383
K210464,K201234
K210463,K190942
K210461,K820454
K210458,K192019
K210456,K190892
K210456,K151160
K210456,K191300
K210452,K083809
K210451,K182682
K210451,K173692
K210450,K091269
K210449,K153169
K210449,K163375
K210448,K160081
K210445,K180874
K210444,K192222
K210443,K192551
K210441,K161055
K210440,DEN170029
K210439,K173892
K210439,K161230
K210439,K181860
K210439,K163230
K210439,K201820
K210438,K181783
K210438,K200138
K210438,K200998
K210438,K202132
K210438,K092079
K210438,K141675
K210438,K073297
K210438,K191798
K210438,K180374
K210437,K191885
K210436,K131378
K210436,K180398
K210436,K100349
K210436,K182782
K210436,K052560
K210435,K183058
K210435,K192609
K210435,K161560
K210433,K182515
K210432,K191235
K210432,K192107
K210431,K200324
K210430,K192366
K210430,K161808
K210429,K100846
K210427,K171170
K210427,K132878
K210427,K193365
K210427,K153664
K210427,K171758
K210427,K072022
K210427,K162061
K210427,K141988
K210427,K121115
K210426,K200339
K210426,K200232
K210425,K171689
K210425,K132897
K210425,K150231
K210425,K190959
K210425,K163581
K210425,K131425
K210425,K142559
K210425,K133216
K210425,K171031
K210425,K201267
K210425,K133577
K210425,K094025
K210425,K100175
K210424,K031276
K210424,K200428
K210424,K161524
K210424,K151553
K210423,K192876
K210423,K053510
K210423,K143235
K210423,K183346
K210423,K202006
K210423,K162074
K210423,K192027
K210423,K052859
K210422,K210218
K210421,K192510
K210421,K192392
K210421,K192273
K210420,K160731
K210420,K093294
K210420,K061202
K210420,K190830
K210420,K173131
K210420,K111362
K210420,K171808
K210419,K200103
K210418,K193241
K210418,K172143
K210418,K113408
K210417,K043423
K210417,K203178
K210417,K122112
K210417,K182003
K210417,K171793
K210417,K131306
K210417,K150953
K210417,K142640
K210416,K203391
K210416,K192152
K210416,K171034
K210416,K201693
K210416,K192410
K210416,K200001
K210415,K131241
K210414,K190306
K210414,K193327
K210411,K120958
K210411,K122494
K210411,K070715
K210410,K200099
K210410,K210080
K210410,K181037
K210410,K111364
K210409,K153496
K210408,K100776
K210408,K201578
K210406,K062517
K210405,K160337
K210404,DEN180005
K210404,K193229
K210402,K151462
K210402,K021932
K210402,K191748
K210401,K200671
K210399,K173881
K210396,K182376
K210394,K171965
K210392,K151911
K210391,K201479
K210390,K020541
K210390,K192994
K210388,K143289
K210386,K140268
K210385,K171770
K210384,K142679
K210384,K193228
K210382,K173115
K210382,K083389
K210382,K202065
K210382,K152972
K210382,K171893
K210382,K131449
K210381,K121803
K210380,K160269
K210379,K201379
K210379,K191828
K210377,K143540
K210377,K191049
K210377,K143320
K210376,K192432
K210375,K153562
K210373,K152086
K210373,K192767
K210372,K200923
K210371,K162433
K210369,K153562
K210367,K071687
K210367,K180044
K210367,K163128
K210367,K930210
K210367,K103753
K210367,K170500
K210366,K192333
K210365,K210369
K210364,K2
10364
K210364,K201895
K210364,K2018
95
K210364,K2103
64
K210362,K111364
K210362,K200099
K210362,K210134
K210362,K181037
K210362,K171694
K210360,K190811
K210360,K131775
K210359,K180437
K210359,K171140
K210358,K170411
K210356,K140440
K210356,K151909
K210356,K161598
K210355,K202706
K210354,K203554
K210354,K141159
K210354,K181138
